Start Menu unloaded
Character select loaded
Character Select Unloaded
Weapon Select loaded
Weapon Select unloaded
Game Loaded
Dealt 6 damage
Dealt 5 damage
Dealt 6 damage
Dealt 10 damage
Dealt 9 damage
Dealt 9 damage
Dealt 9 damage
Dealt 40 damage
Dealt 40 damage
Dealt 12 damage
Dealt 11 damage
Dealt 11 damage
Dealt 9 damage
Dealt 10 damage
Dealt 10 damage
Dealt 11 damage
Dealt 10 damage
Dealt 12 damage
Dealt 9 damage
Dealt 9 damage
Dealt 9 damage
Dealt 9 damage
Dealt 10 damage
Dealt 10 damage
Dealt 8 damage
Dealt 9 damage
Dealt 44 damage
